Year,Make,Model,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Fuel_Type
2023,Honda,Ridgeline RTL,"$46,370",4.8,9,Platinum White Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport,"$34,150",1.7,24,Platinum White Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport,"$34,245",4.7,2869,Meteorite Gray Metallic,Hybrid
2022,Honda,Pilot TrailSport,"$46,500",5,12,Sonic Gray Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport Touring,"$40,395",4.4,12,Crystal Black Pearl,Hybrid
2023,Honda,Odyssey EX-L,"$42,250",4.4,12,Pacific Pewter Metallic,Gasoline
2023,Honda,CR-V Hybrid Sport,"$34,090",4.4,12,Urban Gray Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport Touring,"$39,845",1.2,70,Crystal Black Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport Touring,"$40,240",1.2,70,Platinum White Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport,"$34,700",1.2,70,Urban Gray Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport Touring,"$40,850",1.2,70,Still Night Pearl,Hybrid
2023,Honda,Pilot Elite,"$53,375",1.2,70,Modern Steel Metallic,Gasoline
2022,Honda,Pilot Special Edition,"$44,600",5,333,Dark Cherry Pearl,Gasoline
2023,Honda,CR-V EX-L,"$34,640",4.7,2051,Crystal Black Pearl,Gasoline
2023,Honda,Pilot Sport,"$42,595",4.3,1239,Lunar Silver Metallic,Gasoline
2023,Honda,Pilot Elite,"$53,720",4.3,1239,White,Gasoline
2023,Honda,Pilot TrailSport,"$50,150",4.6,985,Sky,Gasoline
2023,Honda,CR-V Hybrid Sport Touring,"$40,939",4.5,1972,Platinum White Pearl,Hybrid
2022,Honda,Ridgeline RTL-E,"$43,190",4.7,790,Platinum White Pearl,Gasoline
2022,Honda,Ridgeline RTL-E,"$42,795",4.7,790,Obsidian Blue Pearl,Gasoline
2022,Honda,Passport Elite,"$41,950",4.7,790,Obsidian Blue Pearl,Gasoline
2023,Honda,Ridgeline RTL-E,"$48,820",4.8,6,Platinum White Pearl,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,469",5,5,Platinum White Pearl,Gasoline
2023,Honda,HR-V Sport,"$29,039",4.6,5,Platinum White Pearl,Gasoline
2023,Honda,CR-V EX-L,"$36,504",4.7,5,Crystal Black Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport Touring,"$40,239",4.4,5,Platinum White Pearl,Hybrid
2023,Honda,CR-V Hybrid Sport,"$34,089",4.4,5,Platinum White Pearl,Hybrid
2022,Honda,Civic Sport,"$25,845",4.6,5,Rallye Red,Gasoline
2022,Honda,Pilot TrailSport,"$46,420",4.4,877,Sonic Gray Pearl,Gasoline
2022,Honda,Passport Elite,"$47,620",4.9,273,Platinum White Pearl,Gasoline
2022,Honda,Pilot Sport,"$39,595",4.5,1691,Crystal Black Pearl,Gasoline
2023,Honda,Ridgeline RTL,"$43,482",5,2291,Radiant Red Metallic II,Gasoline
2023,Honda,CR-V EX-L,"$35,400",4.9,2843,Platinum White Pearl,Gasoline
2022,Honda,Pilot TrailSport,"$46,500",4.6,880,Sonic Gray Pearl,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,470",4.8,723,Platinum White Pearl,Gasoline
2022,Honda,Accord Sport 2.0T,"$35,150",4.8,723,Platinum White Pearl,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,075",4.8,723,Crystal Black Pearl,Gasoline
2023,Honda,Accord EX,"$30,705",4.8,723,Obsidian Blue Pearl,Gasoline
2022,Honda,Passport Elite,"$47,050",5,2599,Platinum White Pearl,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,470",4.9,559,Platinum White Pearl,Gasoline
2022,Honda,Pilot TrailSport,"$46,719",4.5,820,Platinum White Pearl,Gasoline
2022,Honda,Passport TrailSport,"$41,500",4.5,3710,–,Gasoline
2022,Honda,Pilot EX-L,"$43,605",5,2231,Lunar Silver Metallic,Gasoline
2023,Honda,CR-V EX,"$34,860",4.7,13,Platinum White Pearl,Gasoline
2023,Honda,Odyssey Sport,"$43,160",4.4,13,Platinum White Pearl,Gasoline
2022,Honda,Passport EX-L,"$43,230",4.9,13,Radiant Red Metallic II,Gasoline
2023,Honda,CR-V EX-L,"$36,505",4.7,13,Lunar Silver Metallic,Gasoline
2023,Honda,CR-V EX,"$34,250",4.7,13,Platinum White Pearl,Gasoline
2022,Honda,Pilot TrailSport,"$46,500",5,13,Platinum White Pearl,Gasoline
2023,Honda,CR-V EX-L,"$35,005",4.7,13,Meteorite Gray Metallic,Gasoline
2023,Honda,CR-V EX-L,"$37,055",4.7,13,Crystal Black Pearl,Gasoline
2022,Honda,Passport TrailSport,"$47,848",4.9,13,Sonic Gray Pearl,Gasoline
2022,Honda,Pilot Special Edition,"$44,205",5,13,Modern Steel Metallic,Gasoline
2022,Honda,CR-V Touring,"$36,845",4.8,3,Lunar Silver Metallic,Gasoline
2023,Honda,Passport TrailSport,"$44,290",4.8,3,Platinum White Pearl,Gasoline
2022,Honda,Pilot Special Edition,"$44,100",5,3,Sonic Gray Pearl,Gasoline
2023,Honda,CR-V EX-L,"$38,500",4.7,3,Crystal Black Pearl,Gasoline
2023,Honda,CR-V EX-L,"$37,000",4.7,3,Silver,Gasoline
2023,Honda,CR-V EX-L,"$35,400",4.7,7,Platinum White Pearl,Gasoline
2023,Honda,CR-V EX-L,"$35,900",4.7,7,Urban Gray Pearl,Gasoline
2023,Honda,CR-V EX-L,"$36,505",3.7,270,Lunar Silver Metallic,Gasoline
2022,Honda,Pilot Touring 8-Passenger,"$48,860",5,14,White,Gasoline
2022,Honda,Accord Hybrid Sport,"$34,555",4.7,328,White,Hybrid
2022,Honda,Pilot Sport,"$39,780",5,1516,Sonic Gray Pearl,Gasoline
2023,Honda,Passport TrailSport,"$41,441",4.2,415,Black,Gasoline
2022,Honda,Pilot Sport,"$41,770",5,1,Platinum White Pearl,Gasoline
2023,Honda,Odyssey Sport,"$43,050",4.4,1,Platinum White Pearl,Gasoline
2023,Honda,Ridgeline Black Edition,"$44,042",5,4272,Platinum White Pearl,Gasoline
2022,Honda,Pilot Sport,"$41,770",4.7,436,Platinum White Pearl,Gasoline
2023,Honda,Odyssey Sport,"$42,655",4.6,1874,Crystal Black Pearl,Gasoline
2022,Honda,Pilot TrailSport,"$46,105",4.6,1874,Crystal Black Pearl,Gasoline
2022,Honda,CR-V EX,"$32,055",3.9,161,CRYSTAL BLACK,Gasoline
2023,Honda,Passport TrailSport,"$45,580",4.8,1978,Sonic Gray Pearl,Gasoline
